round,test_loss,test_acc,train_loss_mean
1,2.3138186172485353,11.29,2.0027220664384724
2,2.313399467468262,11.5,2.025468373752893
3,2.265505641555786,16.98,1.9092334257754289
4,2.231551538848877,16.1,2.0289208758422843
5,2.0954601905822754,20.12,1.9311782049108348
6,2.0277703659057615,25.01,1.5997528365788516
7,1.9392475658416748,28.57,1.7113525728603478
8,1.945600030708313,25.06,1.5937827669125186
9,1.9507356826782227,28.68,1.5727165946710133
10,1.8588236715316773,31.3,1.6565596486787761
11,1.78883973903656,34.11,1.5619658419733669
12,1.8649530952453612,30.16,1.4540072423581478
13,1.829310694694519,32.39,1.4729474215211293
14,1.7038152715682984,38.56,1.4604927294078944
15,1.7057658905029296,35.21,1.3824670959409784
16,1.7603228881835937,30.03,1.419451780450769
17,1.6722283544540406,38.44,1.4744044137953987
18,1.7421730289459227,32.94,1.3333340199120474
19,1.6712556058883667,37.97,1.4470487998098105
20,1.7528200391769408,35.66,1.4098674820787287
21,1.6446675062179565,38.24,1.2858150548648655
22,1.6221150300979614,39.44,1.4665586299997178
23,1.6093179710388184,40.07,1.3657714548566782
24,1.5456071140289307,41.55,1.379665823444888
25,1.5809799646377563,40.68,1.2999129068871766
26,1.5839145734786988,39.87,1.2725100666745888
27,1.544444243812561,43.25,1.3357381868421498
28,1.5849665046691894,41.56,1.228726715304911
29,1.5816005584716797,38.18,1.2607254736941722
30,1.4793184661865235,44.54,1.3194803729218392
31,1.4350541645050048,48.19,1.2238454415118625
32,1.4541293331146241,46.02,1.2277447742321241
33,1.4314651609420777,46.75,1.260719515554525
34,1.430346415901184,47.56,1.2535736317853217
35,1.4320225652694702,46.95,1.2559455357536304
36,1.4379869302749633,46.36,1.2339146222210609
37,1.471473106956482,43.28,1.181953417527865
38,1.4464852592468262,46.77,1.2273766550622045
39,1.579477228164673,39.78,1.1613775663171302
40,1.4074052597045899,49.88,1.2399731865346058
41,1.3915770669937133,49.06,1.2155333723257806
42,1.4094387149810792,48.87,1.1864756798047034
43,1.3813714702606201,47.82,1.142588047117648
44,1.3591814918518066,48.97,1.0400604980648873
45,1.3430519882202148,50.92,1.1563399019811822
46,1.3856087884902955,49.42,1.1349142816035889
47,1.3541695280075072,50.12,1.1714684986973867
48,1.3693364616394044,47.76,1.2010028187409545
49,1.3557446546554566,50.14,1.162341820685973
50,1.336766171836853,49.9,1.0851687732548547
51,1.350206968307495,50.84,1.1617172824952706
52,1.3594901039123535,47.49,1.062047388568834
53,1.3485882703781127,49.05,1.0895743786841745
54,1.365980750656128,50.09,1.0654622764928978
55,1.3218041227340698,50.45,0.9960454826824119
56,1.2494584812164307,55.2,1.0654212490417756
57,1.2840900650024414,52.43,1.1162200340673532
58,1.2530120950698853,54.53,1.0590616407481506
59,1.2758419569015502,53.65,1.1321028452337898
60,1.2342035472869872,55.13,1.0778505829927272
61,1.2725665365219117,53.44,1.0261886551814017
62,1.2070615942001344,57.62,1.0878479345775713
63,1.3557500604629518,49.74,0.975787235952368
64,1.334471426963806,50.23,1.1837654315323367
65,1.3551446006774903,48.22,1.0782360644863946
66,1.3020497415542602,51.35,1.1404418680965072
67,1.3120990621566773,49.47,0.995098693412119
68,1.2329572013854981,54.75,1.0391885771691367
69,1.2902682989120484,51.66,1.0341521455916616
70,1.2442550359725952,53.56,1.0484281399952322
71,1.2575717597961427,53.11,0.938054608115819
72,1.241542673778534,54.66,1.017128078010082
73,1.3126219358444213,49.22,1.0050921611238568
74,1.2189846254348755,55.0,1.1581966628315095
75,1.1905265018463134,56.69,1.0587039493695205
76,1.1929267589569093,55.67,0.9765843486090408
77,1.1801491462707518,58.42,0.9449586347526507
78,1.1722291164398193,57.97,0.9822689008357847
79,1.1563019653320312,58.61,0.9236217238319148
80,1.1816089849472047,57.14,0.9810002297658406
81,1.2163368993759156,54.75,0.9637848109053568
82,1.2014265329360962,56.19,1.0492382470656427
83,1.1759926294326781,56.38,0.9876181691384677
84,1.1634167329788208,58.7,1.0223137470374848
85,1.1357915977478028,59.27,1.0389626828595244
86,1.1388814383506776,59.5,0.9694442989024372
87,1.1994520301818847,56.03,0.947073304760487
88,1.1972033601760865,54.82,0.9886093827722554
89,1.1729622230529786,56.13,1.0456060830441938
90,1.1305448169708252,58.08,0.9183908856524571
91,1.0989167379379272,62.28,0.986613880546928
92,1.0887491722106934,61.37,0.9802586862276635
93,1.0851475019454957,62.31,0.9690531395912686
94,1.1184977518081665,59.98,0.885184059339777
95,1.1225223247528076,58.9,0.8921761210647045
96,1.1308710065841674,58.59,0.9864640784880674
97,1.1144277042388917,60.02,0.9560786159704365
98,1.0943160411834716,61.07,0.9889948952313977
99,1.0823198722839356,61.34,0.879462827456234
100,1.0962837532043457,60.6,0.9055437766402263
